LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2021-11-13 14:56:23,1900-01-00 00:00:00,,90:B6:86:54:98:39,-25, ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:24,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:25,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:25,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:25,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-26, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-11-13 14:56:25,1900-01-00 00:00:00,AndroidAPq,90:B6:86:54:98:39,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
